a few;کمی
computer architecture;معماری کامپیوتر
computer assisted;بکمک کامپیوتر
computer center;مرکز کامپیوتر
computer center manager;مدیر مرکز کامپیوتر
computer engineer;مهندس کامپیوتر
computer engineering;مهندسی کامپیوتر
computer industry;صنعت کامپیوتر
computer language;زبان کامپیوتری
computer manufacturer;سازنده کامپیوتر
computer network;شبکه کامپیوتری
computer oriented;کامپیوتر گرا
computer program;برنامه کامپیوتری
computer salesman;فروشنده کامپیوتر
computer science;علوم کامپیوتر ، علم کامپیوتر ، علوم کامپیوتر
computer simulation;شبیه سازی
computer system;سیستم کامپیوتری
computer time;وقت کامپیوتر
computer word;کلمه کامپیوتری
computerization;کامپیوتری شدن
computerize;کامپیوتری کردن
computerized;کامپیوتری ، کامپیوتری شده
computing center;مرکز محاسبات
concave;مقعر
concavity;تقعر
conceal;پنهان کردن ، نهان داشتن ، پوشیدن ، مستتر کردن ، نهان کردن
conceal a fault;عیب پوشی کردن
concealed;مکتوم ، نهفته ، نهان ، پوشیده ، پنهان
concealment;خفا ، خفیه ، نهفتگی ، اختفاء ، پوشیدگی ، مستوری ، اختفا
conceit;نخوت ، خود بینی
conceivability;امکان پذیری
conceivable;قابل تصور
conceive;آبستن شدن
concent;توافق ، هم آهنگی
concentrate;تغلیظ کردن
concentrated;تغلیظی ، تنگاب ، متمرکز
concentration;تغلیظ ، تمرکز ، غلظت
concentrative;تمرکزی
concentrator;متمرکز کننده
concentric;هم مرکز ، متحد المرکز ، متحدالمرکز ، هم مرکز
concept;مفهوم
conception;ادراک ، تصور ، بستن نطفه ، فهم
conceptional;ادراکی
conceptual;تعقلی ، ادراکی
conceptualization;ادراک
concern;مربوط بودن ، پروا
concerned;علاقهمند
concerning;راجع به ، راجعبه
concerning all;اعم
concert;هم آهنگی ، کنسرت
concerted;هم نوا
concession;امتیاز ، امتیازنامه
concessionaire;امتیاز دهنده
concessioner;صاحب امتیاز ، صاحب امتیاز
concessive;تصدیقی
concha;گنبدنیم گرد ، استخوان صدفه ، صدفه
conchiferous;صدف زا
conchoidal;صدفی
conchologist;صدف شناس ، صدف شناس
conchology;صدف شناسی
concierge;قلعه بان
conciliation;استمالت
conciliatory;استمالت پذیر ، آشتی کننده
concise;لب گو ، فشرده ومختصر
concised;مختصر
conclude;نتیجه گرفتن ، استنتاج کردن ، منعقد شدن ، به نتیجه رسیدن ، منعقد ساختن ، منعقد کردن ، معاهده بستن
concluded;منعقد ، معگود ، معقود ، منتج ، مختوم
conclusion;خاتمه ، نتیجه گیری ، انعقاد ، استنتاج ، اختتام ، نتیجهگیری ، فرجام ، عاقبت
conclusive;مسکت ، اختتامی
conconancy;توافق صدا
concord;سازگاری ، همدلی
concordance;مطابقت ، هم شیبی
concordant;هم نوا ، هم آهنگ
concordat;موافقت نامه
concourse;محل ملاقات ، محل اجتماع
concrete;ساروج شنی ، جامد ، بتونی ، بتن ، بتون ، شفته ، بهم چسبیده
concrete noun;اسم ذات ، اسم جامد
concrete pouring;شفته ریزی
concretion;سنگال
concubine;صیغه
concupiscence;نفس اماره
concupiscible;هوس انگیز
concur;دمساز شدن
concussion;ضربت سخت
condemn;محکوم کردن ، محکوم نمودن
condemn to death;محکوم بمرگ ساختن ، محکوم بمرگ کردن
condemnation;محکومیت
condemned;محکوم به زوال
condemned to death;محکوم بمرگ
condensable;غلیظ شدنی
condensate;منقبض شده
condensated;چگالیده
condensation;جمع شدگی ، تراکم ، تغلیظ ، تلخیص ، چگالش
condense;متراکم کردن ، متراکم ، متراکم شدن ، متراکم ساختن ، تغلیظ شدن
condensed;تغلیظ شده ، غلیظ ، تغلیظی ، همچگال ، فشرده ، متراکم
condensedness;فشردگی
condenser;خازن
condescend;تواضع کردن
condescending;نوازش کننده
condiment;نمک وفلفل ، ادویه
condition;وضع ، وضعیت ، حالت ، شایسته کردن ، حال ، شرط ، چونی ، شریطه
conditional;شرطی ، مشروط
conditional jump;جهش شرطی
conditioned;مشروط
conditioning;شایسته سازی
conditions;اوضاع ، احوال ، شروط ، شقوق ، شرایط
condoleezza rice;کاندالیزا رایس
condolence;عزا ، تعزیت ، سر سلامتی ، اظهار تاسف ، تسلیت
condom;کاپوت
condominium;مالکیت مشترک
condonation;عفو تقصیر ، غمض
condone;اغماض کردن ، غمض عین کردن
conducive;منجر شونده
conduct;رفتار ، کردار
conduct an opinion;نظر خواهی کردن
conduct research;پژوهش کردن
conductance;میزان هدایت
conductivity;قابلیت هدایت ، رسانائی
conductor;رسانا ، هادی
conduit;مجرای سیم
cone;میوه کاج ، مخروطی شکل کردن ، مخروط
coneflower;روبکی
confabulate;درد دل کردن
confabulation;درد دل
confect;مزق
confectionary;شیرینی ساز
confectioner;شیرینی فروش ، شکر ریز ، شیرینی پز ، شیرینی فروش
confectionery;شیرینی پزی ، شیرینی فروشی
confederacy;هم پیمانی
confederate;موتلف
confederation;هم عهدی ، هم پیمانی ، اتحادیه
conferee;همرایزن
conference;همرایزنی ، کنفرانس ، مشاوره ، مفاوضه ، مقاوله ، اجلاس
confess;آشکارا گفتن ، مقر آمدن ، اذغان کردن ، خستو شدن ، اعتراف کردن ، مقر شدن به ، اقرار کردن
confessing;خستو
confession;اقرار بجرم ، اذعان ، مقر ، اعتراف ، اعتراف نامه ، اقرار
confessional;اعترافی ، اقراری
confessor;اقرار آورنده ، معترف ، معترف
confidant;محرم راز ، هم رائ ، همراز ، محرم اسرار ، سرنگهدار ، رازدار
confidence;اطمینان ، اعتماد ، وثوق ، استظهار ، دلگرمی
confident;دلگرم
confidential conversation;مناجات
confidentially;بطور محرمانه
confidently;متوکلاً
configuration;پیگربندی
confine;محبوس شدن ، محبوس کردن
confined;محدود شده ، مقصور
confinement;توقیف ، زندان بودن
confirm;تایید کردن ، تسجیل کردن ، تنفیذ کردن ، تصدیق کردن ، استوار کردن
confirmation;تنفیذ ، تایید ، تسجیل
confirmed;پادار ، مسجل
confirmer;موید ، موید
confiscable;قابل توقیف
confiscatable;قابل توقیف
confiscate;ضبط کردن ، مسدود کردن ، مصادره کردن
confiscated;مضبوط
confiscation;ضبط
conflagration;آتش سوزی
conflict;گیرودار ، چالش ، ناسازگار بودن ، تضاد ، نبرد
confluence;تلاقی ، همریختنگاه ، همریزگاه
confluent;متلاقی ، همریز ، ملتقی
conform;تطابق داشتن ، تطبیق کردن ، مطابق شدن ، مطابقت داشتن ، تطبیق نمودن ، مطابق بودن ، مطابق کردن ، مطابقت کردن
conformable;منطبق شدنی
conformity;مطابقت ، وفاق ، تطابق
confounded;لعنت شده ، نفرین شده
confront;رو به رو بودن ، مواجه شدن ، روبرو کردن با ، روبرو کردن ، مواجهه کردن ، مقابله کردن ، برخورد کردن ، رو به رو شدن ، روبرو شدن
confrontation;رویاروئی ، رودررویی
confronting;رویاروی ، مواجه
confuse;نامنظم کردن ، درجواب عاجز کردن ، اشتباهی گرفتن ، گیج کردن ، مختل کردن ، باهم اشتباه کردن ، مغشوش کردن ، آسیمه کردن
confused;سردرگم ، خر تو خر ، حیران و سرگردان ، گیج ، متشنج ، مچل ، نابسامان ، بیکله ، مشتبه ، پراکنده حال ، مغشوش
confusing;ملتبس
confusion;تبلبل ، سرآسیمگی ، اختلال ، آشفته بودن ، شلوق پلوق ، گیجی ، هرج
confutation;مورد تکذیب ، امر مردود
confute;مجاب کردن
congeal;ماسیدن ، یخ بستن
congealable;قابل انجماد
congealed;منجمد
congelation;ماسیدگی ، انجماد
congenial;هم مشرب ، هم سلیقه ، همخو
congenital;ارثی ، مادرزاد
congest;گرفته کردن
congestation;تراکم
congestion;احتقان
conglobate;گلوله شدن
conglomerate;کلوخه شده ، جوش سنگ ، گرد شدن
conglomeration;اختلاط شرکتها
conglutinate;بهم چسباندن
conglutination;بهم چسبیدن
congnate;همریشه
congo;کنگو
congradulate;تهنیت گفتن
congradulatory;تهنیت آمیز
congratulate;شادباش گفتن ، تبریک گفتن ، مبارک باد گفتن ، تهنیت گفتن
congratulation;تبریک ، تهنیت
congratulations;مبارک باد ، مبارک باشد ، چشم ما روشن ، شادباش
congregation;جماعت ، تجمع
congress;مجلس نمایندگان
congress;کنگره ، مجلس
congruity;سنخیت
conic;مخروطی ، کله قندی
conical;کله قندی
conics;مخروطات
coniferous;جوزآور
coniviction;مجرمیت ، محکومیت
conjecture;حدس
conjugate;درهم آمیختن ، گشنیدن ، توام کردن
conjugated;توام
conjugation;گشنگیری
conjunction;حرف عطف ، حرف ربط ، مقارنت ، مقارنه ، التقاء ، اقتران ، تلاقی ، تقارن
conjunction of happiness;اقتراه سعدین
conjunction of paradoxes;اقتراه ضدجن
conjunctional;ربطی
conjunctive;عطفی ، ملتحمه
conjuncture;ملاقات تصادفی
conjure;افسونکردن ، جادو کردن
conjuring;افسونگری
connate;مادزادی
connatural;هم خو
connect;بهم اتصال دادن ، بهم متصل کردن ، بهم رسیدن ، ربط دادن ، متصل کردن ، ارتباط دادن ، وصل کردن ، پیوستن ، مربوط کردن ، وابسته کردن ، مربوط ساختن ، اتصال دادن
connect together;با هم متصل کردن
connected;وابسته ، ملتحم ، متصل ، پیوسته
connecticut;کانکتیکت
connecting;عطف
connecting rod;دسته پیستون ، شاتون
connection;بستگی ، پیوند ، وابستگی ، اتصال ، انتساب ، وصل ، مقارنت ، پیوستگی
connection cable;کابل اتصال
connection terminal;پایانه اتصال
connective;آگینی ، اتصالی ، آگینی ، متصل کننده
connective tissue;بافته آگینی
connector;رابط ، متصل کننده ، رابط
connivance;اغماض ، اجازه ضمنی ، غمض
connive;عیب پوشی کردن ، سر وسر داشتن
connote;اشاره ضمنی کردن
conquer;فتح کردن ، تسخیر کردن ، مسخر کردن
conquered;مفتوح ، مسخر
conqueror;غالب ، فاتح ، ظافر ، فاتح
conquest;تسخیر
conrel;چپ چپی
consanguineous;صلبی
consanguinity;قوم وخویشی
conscience;وجدان ، باطن ، ضمیر ، ذمیر مستشعر ، ضمیر مستشعر
